乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
但附近一个住宅楼的居民，成功在自家阳台上拉起了一个巨型的中国国旗，并喊着支持中国的口号。	But residents of a nearby residential building managed to hang a giant Chinese flag on the balcony and shout pro-China slogans.	But residents of a nearby residential building managed to pull up a giant Chinese flag on their balconies and shout pro-China slogans.	But residents of a nearby residential building managed to pull up a giant Chinese flag from their balcony and shout pro-China slogans.
成都美领馆于1985年开放，覆盖美国在中国西南部的所有领事相关事务，尤其是西藏自治区。	The U.S. Consulate in Chengdu opened in 1985, and covered all U.S. consular affairs in Southwest China, especially in the Tibet Autonomous Region.	The U.S. Consulate in Chengdu opened in 1985 and covers all U.S. consular-related matters in southwestern China, especially the Tibet Autonomous Region.	The United States Consulate in Chengdu opened in 1985 and covers all U.S. consular affairs in southwestern China, particularly in the Tibet Autonomous Region.
法新社成都站记者表示，中国政府对美国的反应相对而言比较克制：众多中国人在网上要求政府关闭美国驻香港领馆，但官方只是说“关闭成都美领馆是对美国不合理行为必要且合法的回应”。	AFP's Chengdu reporter said that the Chinese government's response to the US was relatively restrained: many Chinese people asked the government to close the U.S. Consulate in Hong Kong on the Internet, but officials only said that "the shutdown of the US Consulate in Chengdu is a necessary and legal response to the unreasonable behavior of the United States."	According to an AFP reporter in Chengdu, the Chinese government's response to the US was relatively restrained: many Chinese online demanded that the government close the US Consulate in Hong Kong, but the official simply said that "the closure of the US Consulate in Chengdu is a necessary and legitimate response to	According to Agence France-Presse Chengdu, the Chinese government's response to the United States has been relatively restrained: many Chinese online demanded that the government close the US consulate in Hong Kong, but officials simply said that "closing the US consulate in Chengdu is a necessary and legitimate response
目前除了成都之外，美国在华还有驻广东，驻上海，驻沈阳，驻武汉，驻香港领馆。	At present, in addition to Chengdu, the United States also has consulates in Guangdong, Shanghai, Shenyang, Wuhan, and Hong Kong.	In addition to Chengdu, the United States currently has consulates in China, Guangdong, Shanghai, Shenyang, Wuhan, and Hong Kong.	At present, in addition to Chengdu, the United States also has consulates in Guangdong, Shanghai, Shenyang, Wuhan and Hong Kong.
湖南日报·新湖南客户端7月25日讯(本报记者)7月25日，由中央广播电视总台财经节目中心主办的大型融媒体行动《走村直播看脱贫》从江苏徐州出发，两辆携带5G新媒体移动云制播系统的大篷车在现场嘉宾目送下，缓缓驶出现场。	Hunan Daily · New Hunan Client Terminal, July 25 (reporter from this organization) On July 25, two caravans carrying 5G new media mobile cloud production and broadcasting system slowly drove out of Xuzhou, Jiangsu Province for the large-scale media convergence campaign "Watch Poverty Alleviation Livecast from Villages" sponsored by the China Media Group’s Financial Program Center.	On July 25, the large-scale financial media operation "Going live from the village to watch poverty" hosted by the financial program center of the Central Radio and Television Station set off from Xuzhou, Jiangsu Province. Two caravans carrying 5G new media mobile cloud broadcasting system were sent by the guests on the spot.	Hunan Daily New Hunan client July 25 (reporter of this newspaper) On July 25, the large-scale financial media action "Walking Village Live Watch Poverty Alleviation" hosted by the Central Radio and Television Financial Program Center started from Xuzhou, Jiangsu Province. Two caravans carrying 5G new media mobile cloud broadcast system drove slowly out of the scene.
习近平总书记指出，“2020年是具有里程碑意义的一年，我们将全面建成小康社会，实现第一个百年奋斗目标，2020年也是脱贫攻坚决战决胜之年”。	General secretary Xi Jinping pointed out that "2020 is a year of milestone significance, because we will finish building a moderately prosperous society in all respects and realize the first centenary goal; 2020 is also a year of decisive victory for the elimination of poverty.”	General Secretary Xi Jinping noted that "2020 is a landmark year. We will fully build a prosperous society and achieve the goal of the first century of struggle. 2020 is also the year of the decisive victory against poverty."	General Secretary Xi Jinping pointed out that "2020 is a landmark year. We will build a moderately prosperous society in all respects and achieve the first centenary goal. 2020 will also be the year of decisive fight against poverty."
大型融媒体行动《走村直播看脱贫》是中央广播电视总台财经节目中心为配合这一重大主题，做好脱贫攻坚宣传的重要举措。	The large-scale media convergence campaign "Watch Poverty Alleviation Livecast from Villages" is an important measure taken by the China Media Group’s Financial Program Center in coordination with this major theme and promote poverty alleviation.	The major financial media initiative, "Going to the Village Live to Look Out for Poverty," is an important initiative of the Central Radio and Television Administration's Financial Program Center to combat poverty and strengthen publicity in order	Large-scale financial media action "village live watching poverty alleviation" is an important measure of Central Radio and Television Financial Program Center to cooperate with this major theme and do a good job of poverty alleviation advocacy.
该行动将走进全国20多个省、自治区、直辖市的脱贫村，挖掘鲜活脱贫故事，直击村容村貌巨变，展现村民如何突破生存发展困境、走向致富之路的历程。	The campaign will go into villages receiving poverty relief in more than 20 provinces, autonomous regions and municipalities directly under the Central Government to discover fresh poverty relief stories, directly view the huge changes in the appearance of the villages, and show how the villagers have overcome the difficulties of survival and development and moved towards the road of prosperity.	The action will enter the anti-poverty villages of more than 20 provinces, autonomous regions and municipalities across the country, dig up stories of fresh life and escape poverty, and directly attack the dramatic change of the village appearance, showing villagers how to break through the difficult situation of survival and development and move	The action will go into poverty alleviation villages in more than 20 provinces, autonomous regions and municipalities across the country, excavate fresh stories of poverty alleviation, directly hit the village landscape change, and show how villagers break through the difficult situation of survival and development, towards the path of wealth.
这次行动将持续3个多月。	The campaign will last more than three months.	The operation will last more than three months.	The operation will last more than three months.
记者从徐州出发，兵分两路，一路走西南线，途经安徽、湖北、江西、湖南、广西、贵州、四川、重庆、云南、西藏等地;另一路走西北线，途经河南、陕西、甘肃、青海、新疆、宁夏、内蒙古、山西、河北等地，行程超过1万公里。	Starting from Xuzhou, the reporter group divided and followed two routes: one is the southwest route, going through Anhui, Hubei, Jiangxi, Hunan, Guangxi, Guizhou, Sichuan, Chongqing, Yunnan, Tibet, and other places; the other is the northwest route, which goes through Henan, Shaanxi, Gansu, Qinghai, Xinjiang, Ningxia, Inner Mongolia, Shanxi, Hebei, and other places, covering a distance of more than 10 thousand kilometers.	From Xuzhou, the reporter took two routes, one way on the southwest line, through Anhui, Hubei, Jiangxi, Hunan, Guangxi, Guizhou, Sichuan, Chongqing, Yunnan, Tibet and other places; the other way on the northwest line, through Henan, Shaanxi, Gansu, Qinghai, Xinjiang, Ningxia, Inner Mongolia, Shanxi, Hebei and other places, the	The reporter from Xuzhou, Bing divided into two roads, all the way to the southwest line, through Anhui, Hubei, Jiangxi, Hunan, Guangxi, Guizhou, Sichuan, Chongqing, Yunnan, Tibet and other places; the other way to the northwest line, through Henan, Shaanxi, Gansu, Qinghai, Xinjiang, Ningxia, Inner Mongolia, Shanxi, Hebei and other places, the trip
在报道形式上，《走村直播看脱贫》大胆融合。	In the format of its reports, "Watch Poverty Alleviation Livecast from Villages" uses a bold integrated style.	In the form of coverage, the "walk the village live to see poverty" boldly fused.	In the form of reporting, "village live watching poverty alleviation" bold integration.
大篷车所到村庄的经济发展情况，都将通过中央广播电视总台央视财经频道、央广经济之声、中国交通广播、央视财经新媒体进行播出。	The economic development of the villages visited by the caravan will be broadcast on CCTV-2 of the China Media Group, CNR Business Radio, CNR China Traffic Radio, and CCTV Financial New Media.	The economic development of the villages to which the caravan will go will be broadcast through the CCTV Financial Channel, CCTV Economic Voice, China Transport Radio and CCTV Financial New Media.	The economic development of the villages where the caravans come will be broadcast through the central radio and television station CCTV financial channel, the Central Guangzhou Economic Voice, China Transport Radio and CCTV financial new media.
同时，大篷车将对所到的每个村庄在央视财经客户端进行长达1小时的直播，观众通过下载央视财经APP，可以观看直播，参与抽奖活动。	Meanwhile, the caravan will carry out a 1-hour live broadcast of each village on the CCTV Finance App, where the audience can watch the live broadcast and participate in a lucky draw by downloading the CCTV Finance App.	At the same time, the caravan will broadcast live for up to 1 hour in each village on CCTV Finance Client. Viewers can watch the live broadcast and participate in the raffle by downloading the CCTV Finance APP.	At the same time, the caravan will broadcast live for up to 1 hour on the CCTV financial client of each village. By downloading the CCTV financial APP, viewers can watch the live broadcast and participate in the raffle.
在技术应用和演播室设计上，《 走村直播看脱贫》勇于突破，首创了“外场新媒体大篷车”。	In terms of technology application and studio design, "Watch Poverty Alleviation Livecast from Villages" makes a bold breakthrough, pioneering the "new media caravan in the field" model.	In technology applications and studio design, "Going live in the village to see out of poverty" bravely broke through and pioneered the "off-field new media caravan."	In terms of technology application and studio design, "Walking Village Live Watching Poverty Alleviation" has the courage to break through and pioneered the "Outfield New Media Caravan."
该车搭载5G新媒体移动云制播系统，利用5G+4K/8K+AI技术，实现线上线下、大屏小屏，电视广播的有机结合。	Each caravan is equipped with 5G new media mobile cloud production and broadcasting system, and uses 5G+4K/8K+AI technology to achieve the organic fusion of online and offline, large screen and small screen, and TV broadcasting.	The car is equipped with 5G new media mobile cloud broadcasting system, using 5G 4K / 8K AI technology to achieve online and offline, large screen small screen, TV broadcast organic combination.	The vehicle is equipped with 5G new media mobile cloud broadcasting system, using 5G 4K / 8K AI technology to realize the organic combination of online and offline, large and small screen and TV broadcast.
配置三讯演播区，演播区由集装箱改装而成，长12米、宽2.55米、高3.98米，箱体采用液压自动展开结构，最大可以上翻120度。	They are equipped with a 3-channel studio area made of retrofitted storage containers that are 12 meters long, 2.55 meters wide and 3.98 meters high, and which have automatic hydraulic expansion structure, and can be turned upwards up to 120 degrees.	Equipped with three news play area, the show area is modified from the container, length 12 meters, width 2.55 meters, height 3.98 meters, the box body is hydraulic automatic expansion structure, the maximum can be turned over 120 degrees.	Equipped with three news studio area, the studio area is converted from the container, 12 meters long, 2.55 meters wide, 3.98 meters high, the box adopts hydraulic automatic expansion structure, up to 120 degrees.
演播区也可以自动展开，并外接扩展平台，面积50多平方米，可以满足大部分节目的场景要求。	The studio area can also be automatically expanded, and come with an external expansion platform of more than 50 square meters, which matches the scene requirements of most programs.	The area can also be expanded automatically, and the external expansion platform, with an area of more than 50 square meters, can meet the scene requirements of most of the program	The studio area can also be expanded automatically, and external expansion platform, an area of more than 50 square meters, can meet the scene requirements of most programs.
眼下的昆明市东川区已是夏日炎炎，而比天气更火热的是易地搬迁安置点旁的扶贫车间。	Summer is boiling hot in Kunming’s Dongchuan District, but poverty alleviation workshops next to population relocation sites are heating up faster than the summer thermometer.	Nowadays, Dongchuan District of Kunming City is summer hot, and hotter than the weather is the poverty alleviation workshop next to the relocation settlement.	At present, Kunming Dongchuan District is hot summer, and hotter than the weather is the relocation of resettlement sites next to the poverty alleviation workshop.
昆明艾斯福电子科技公司员工吕玲说，“现在，一出家门，就进厂门，赚钱顾家两不误，多亏了工会组织的免费职业技能培训。”	Lv Ling, Kunming Aisifu Electronics Technology Company employee, says, “Now, I walk right out of my house and right into the factory gate, I can earn money and take care of my family at the same time, and it’s all thanks to the free vocational training arranged by the Trade Union. “	Kunming Asifu Electronic Technology Co., Ltd. employee Lu Jun said, "Now, as soon as you leave the house, you will go to the factory door and make money. Thanks to the free vocational skills training organized by	Kunming ASF Electronic Technology Company employee Lv Ling said, "Now, once out of the house, enter the factory door, make money home without mistake, thanks to the free vocational skills training organized by trade unions."
走进东川区铜都街道电子元器件加工扶贫车间，一派热火朝天的忙碌画面映入眼帘。	A bustling scene unfolds before your eyes as you walk into the electronics component processing poverty alleviation workshop on Tongdu Street in Dongchuan District.	Entering the Tongdu Street Electronic Components Processing Poverty Alleviation Workshop in Dongchuan District, a hot and busy picture came to light.	Into Dongchuan District Tongdu Street electronic components processing poverty alleviation workshop, a hot busy picture came into view.
40多岁的吕玲是位单亲妈妈，一个人带孩子，还要照顾年迈的父母。	Lu Ling, now in her 40’s, is a single mother who supports her child and her elderly parents by herself.	In her 40s, Lu was a single mother, one with children and caring for elderly parents.	Lv Ling, who is in her 40s, is a single mother with children alone and has to take care of her elderly parents.
在她最困难的时候，东川区总工会帮忙出主意想办法，跑前忙后“雪中送炭”。	When things were at their most difficult for her, the Dongchuan District Federation of Trade Unions helped her find solutions and provided all kinds of aid that was like “a glass of water in the desert”.	At her most difficult time, the Tokugawa City Federation of Trade Unions helped come up with ideas for a way to "send charcoal in the snow" after a busy run	At her most difficult time, the Higashikawa District Federation of Trade Unions helped come up with ideas to "send charcoal in the snow" before running busy.
2018年起，吕玲享受到住房、就学、社保、就业等帮扶政策和各级工会发放的帮扶金。	Since 2018, she has enjoyed housing, school, social insurance, and employment assistance from policies and assistance funding from trade unions at every level.	Since 2018, Lu has benefited from housing, school, social security, employment and other support policies, as well as from the benefits granted by trade unions at all levels.	Since 2018, Lv Ling has enjoyed assistance policies such as housing, schooling, social security and employment, as well as subsidies from trade unions at all levels.
今年，她的孩子已经顺利毕业并就业，她本人也在参加技能培训后有了工作和收入，已于4月底脱困。	This year, her child graduated and found a job, and she herself found a job and gained an income after receiving vocational training, which finally helped her escape her difficult situation in late April.	This year, her children have successfully graduated and are employed, and she herself has a job and income after attending skills training, having been released from bed at the end of April.	This year, her children have successfully graduated and become employed, and she herself was released at the end of April with a job and income after attending skills training.
据悉，东川区总组织助力脱贫攻坚专项技能培训项目，是云南省总工会技能培训工作的一部分。	According to reports, the Special Poverty Alleviation Vocational Skills Training Program organized by the Dongchuan District Party Committee is part of the Yunnan Provincial Federation of Trade Unions skills training work.	It is reported that the General Organization of Dongchuan District has helped to combat poverty and maintain a special skills training project, which is part of the skills training work of the Yunnan	It is reported that Dongchuan District General Organization to help poverty alleviation special skills training project is part of the skills training work of Yunnan Federation of Trade Unions.
区总结合该区易地扶贫搬迁安置点困难职工的特点，深入调查了解培训需求，确定培训工种，近期计划培训电工、焊工、面点师等共计450人。	Based on the unique characteristics of poverty alleviation for the recently relocated employment-challenged in the district, the District Committee has conducted in-depth investigations to understand training requirements and determine the types of vocational training to be conducted, and in the near future plans to train a total of 450 electricians, welders, and pastry chefs.	The district has taken into account the characteristics of poor workers in poor relocation sites in the district, conducted in-depth surveys to understand the training needs and determine the type of work to be trained. A total of 450 people are scheduled to be trained in the near	District General combined with the characteristics of difficult workers in the area of poverty alleviation relocation sites, in-depth investigation to understand the training needs, determine the type of training jobs, the near future plans to train electricians, welders, pastry masters and other total 450
近日，农业银行云南孟连县支行职工李怡给县总工会写了一封情真意切的感谢信。	Li Yi, an employee at the Agricultural Bank’s Yunnan Menglian County Branch, recently wrote a heartfelt letter of thanks to the County Federation of Trade Unions.	Recently, the Agricultural Bank of Yunnan Menglian county branch worker Li Yi wrote a heartfelt thank-you letter to the county general union.	Recently, the Agricultural Bank of Yunnan Menglian County branch worker Li Yi wrote a sincere thank-you letter to the County Federation of Trade Unions.
她在信中诚挚地感谢了从2013年8月到2017年1月之间，工会给予她的金秋助学款，帮助她完成学业。	In her letter, she offered sincere thanks for the Golden Autumn Scholarship she received from the trade union from August 2013 to January 2017, which allowed her to complete her studies.	In her letter, she sincerely thanked the union for giving her a Golden Autumn grant to help her finish school between August 2013 and January 2017.	In her letter, she sincerely thanked the union for giving her the Golden Fall grant between August 2013 and January 2017 to help her complete her studies.
2004年，李怡的父亲因车祸去世，母亲被纳入困难职工档案，此后，一直享受建档立卡政策的关爱。	After Li Yi’s father passed away in a car accident in 2004, her mother received employment-challenged status, and has enjoyed the benefits of inclusion in the system since.	In 2004, Li Yi's father died in a car accident, and his mother was included in the hard worker file.	In 2004, Li Yi's father died in a car accident and her mother was included in the file of difficult workers.
在当地工会的帮扶下，李怡顺利完成学业。	With the help of the local trade union, Li Yi successfully completed her studies.	With the help of local labor unions, Li successfully completed his studies.	With the help of local trade unions, Li Yi successfully completed his studies.
2016年以来，通过制度保障和精准帮扶实现脱困3809户。	Since 2016, systemic guarantees and targeted assistance have lifted 3,809 households out of poverty.	Since 2016, 3809 households have been freed from poverty through system guarantee and precise help.	Since 2016, 3,809 households have been lifted out of poverty through system protection and precise assistance.
吕玲一家和李怡的成功解困脱困，是云南工会推进困难职工解困脱困工作的一个缩影。	The successful poverty relief offered to Lv Ling’s family and Li Yi are a window into the poverty alleviation efforts for the employment-challenged of Yunnan’s trade unions.	The success of the L Yi family and the Li Yi family in relieving poverty is a microcosm of the work done by the Yunnan trade union to promote	The success of the Lv Ling family and Li Yi is a microcosm of the work of Yunnan Labour Union to promote the relief of difficult workers.
据云南省总工会法律和维权工作部工作人员段开元介绍，省总加强困难职工档案动态管理，推动建档工作常态化，对符合建档条件的困难职工，及时纳入帮扶系统；拓宽困难职工申请渠道，运用微信开通网上申请困难职工建档服务平台，方便困难职工及时主动申报。	According to Duan Kaiyuan, who works at the Yunnan Provincial Federation of Trade Unions in the Legal and Rights Protection Work Department, the Federation’s provincial headquarters has enhanced its dynamic management of the employment-challenged filing system, pushed normalize filing for assistance, and worked to actively bring those qualified for employment-challenged status into assistance systems; they have also expanded channels to apply for employment-challenged status by creating a WeChat application platform to make it easier for the employment-challenged to seek and apply for assistance on their own.	According to the staff of the Legal and Environmental Protection Work Department of the Yunnan Federation of Trade Unions, the province has strengthened the dynamic management of difficult workers' files, promoted the regularization of filing work, and timely integrated into the support system for difficult workers who meet the conditions for filing; widened the application channels for difficult workers, and used WeChat to open an online application platform for difficult workers' filing services to facilitate	According to Duan Kaiyuan, staff of the Legal and Rights Protection Work Department of Yunnan Federation of Trade Unions, the Provincial General Administration will strengthen the dynamic management of difficult workers' files, promote the normalization of archiving work, timely integration into the support system for difficult workers who meet the conditions for filing; broaden the application channels for difficult workers, use WeChat to open an online filing service platform for difficult workers,
疫情期间，外出务工困难，为帮助在档困难职工缓解生活压力，云南省总安排1300余万元送温暖资金，按照全国级在档困难职工每户2000元、省级在档困难职工每户1500元标准，对6000余户全国级和1000余户省级在档困难职工实施专项送温暖慰问活动。	During the epidemic, seeking work outside the home has been difficult, so to help alleviate pressure on the livelihoods of the employment-challenged, the Yunnan Province Central Party Committee has arranged a total of 13 million yuan in “Delivering Comfort” aid, providing 2,000 yuan to every household in the national employment-challenged database and 1,500 yuan to every household in the provincial employment-challenged database, aid that reached a total of 6,000 employment-challenged households nationally and 1,000 employment-challenged households in the province through the special program.	During the outbreak of the epidemic, in order to help the difficult workers in the stage to relieve the pressure of life, Yunnan Province has arranged a total of more than 13 million yuan to send warm funds, in accordance with the national level in the standard of 2,000 yuan per household in the stage of hardship workers, and the provincial level in the stage of hardship workers 1500 yuan per household.	During the epidemic, it was difficult for workers to go abroad. In order to help workers in difficult positions relieve the pressure of life, Yunnan Province arranged more than 13 million yuan to send warm funds, according to the standard of 2,000 yuan per household for workers in difficult positions at the national level and 1,500 yuan per household for workers in difficult positions at the provincial level.
同时，省总与人社部门和智联招聘等各类互联网招聘平台对接，将招聘信息推送给困难职工，并提供就业咨询、就业指导等服务。	At the same time, the Yunnan Province Central Party Committee, the Ministry of Human Resources and Social Security, zhaopin.com, and other online job recruitment sites worked together to push job recruitment information to the employment-challenged, provide employment consulting and guidance, and provide other services.	At the same time, the province has docked with various Internet recruitment platforms such as the people's department and Zhilian recruitment, pushing recruitment information to difficult workers and providing employment advice and career guidance services.	At the same time, the Provincial General Manager connects with various Internet recruitment platforms such as human resources departments and Zhilian recruitment, pushes recruitment information to difficult workers, and provides employment advice and career guidance services.
过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。这些研究发现揭示了代际冲突的交叉时滞关联性。医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。	The transition to parenthood is one of the most stressful intra- and interpersonal adjustment periods for new parents.Bidirectional associations among intergenerational relationships during the transition to parenthood have received limited attention, and the complexity of reciprocal relationships varies in accordance with living arrangements.The objectives of this study were to explore (1) the bidirectional associations between marital relationships and conflicts with in-laws during the transition to parenthood and (2) the moderation of patrilineal coresidence on the aforementioned relationships.A three-wave prospective longitudinal design was adopted for 359 married mothers.The Dyadic Adjustment Scale and Stryker Adjustment Checklist were used to assess marital relationships and conflicts with parents-in-law.Cross-lagged panel analysis was applied to examine reciprocal relationships, and multigroup analyses were employed to determine whether these relationships exhibited different patterns in accordance with the individuals' living arrangements.The two cross-lagged models revealed the presence of a bidirectional relationship between marital distress and conflicts with parents-in-law during the mid- to late pregnancy stages.Meanwhile, the multigroup analyses suggested that conflicts with parents-in-law triggered marital distress during pregnancy in the coresidence group, whereas conflicts with fathers-in-law could intensify marital distress during late pregnancy to the postpartum period in the noncoresidence group.These findings shed light on cross-lagged associations with intergenerational conflicts.Healthcare professionals need to ensure that intergenerational relationships are positive during the transition to parenthood.This study enriches our understanding of the effect of patrilineal coresidence and can guide the future development of interventions based on culturally specific multidimensional approaches.	The transition to parenthood is one of the most stressful adjustment periods for new parents, be it with the individual self or with others.Research on the two-way relationship between this transitional intergenerational relationship is limited, and the complexity of the relationship varies according to the living-in-residence context.The purpose of the study is to explore (1) the two-way correlation between marital relationships and conflict with the other parent during the transition to parenthood, and (2) the effect of living with the father on the adjustment of the relationship.This paper looked at 359 married mothers, using three-wave forward-looking long-term study designs.The binary adjustment scale and the Strik adjustment list scale were used to assess marital relationships and conflicting relationships with each other's parents.Interrelationships are studied using intersectional time-lag plane analysis, and multicluster analysis is used to determine whether these relationships present different patterns depending on the life context.Two intersectional time-lag models show a two-way relationship between marital problems and conflict with each other's parents in the middle to late stages of pregnancy.At the same time, a multicluster analysis showed that conflict with the other parent in the subject group, who lived with the parent during pregnancy, could cause marital problems, while conflict with the father in the subject group, who did not live with the parent, could reinforce marital problems in the latter part of the pregnancy toThese findings reveal the intersecting time-lag correlations of intergenerational conflict.Health care professionals need to ensure that intergenerational relationships are positively beneficial in the transition to parenthood.This study enriches our understanding of the role of living with one's father in marital relationships and can guide the future development of culturally specific, multidimensional interventions.	The transition to parenthood is one of the most stressful adjustment periods new parents face, both with their individual selves and with others.Research into two-way intergenerational relationships during such transitions is very limited, and the complexity of interrelationships varies depending on the context in which they live.The aim of this study is to explore (1) the two-way correlation between marital relationships and conflicts with each other's parents during the transition to parenthood, and (2) the adaptive influence of living with the father on these relationships.The paper studied 359 married mothers using a three-wave prospective long-term study design.Use the Binary Adjustment Scale and Strike Adjustment Checklist Scale to assess marital relationships and conflicting relationships with each other's parents.Interrelationships are studied using cross-lag plane analysis, and multi-group analysis is used to determine whether these relationships exhibit different patterns depending on life situations.Two cross-lag models show a two-way relationship between marital problems and conflict with each other's parents in the middle to late stages of pregnancy.At the same time, the multi-group analysis showed that conflict with each other's parents during pregnancy could lead to marital problems, while conflict with each other's father during late pregnancy and late childbirth could reinforce marital problems in those who did not.These findings reveal intersectional time-lag correlations between generational conflicts.There is a need for health care professionals to ensure that intergenerational relationships are positively beneficial during the transition to parenthood.This research enriches our understanding of the role of living with fathers in marital relationships and can guide the future development of multi-dimensional interventions based on specific cultures.
线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。解决该问题的方法之一是采用不要求数据 为正态分布的半参数模型。但是，半参数模型对离散 数据相当敏感，因此在处理包含离散值的数据时产生 的估计值是不可靠的。在这种情况下，一些研究者在 删减这些极端值后再进行分析，但是，删减数据的事 先法则（ad-hoc rules）是基于主观标准的，所以不同 的调整方法就会产生不同的结果。等级回归为处理包 括离散值的非正态分布数据提供了更为客观的方法。本文采用虚拟和实际数据来阐述这个非常有用的处理 离散值的回归方法，并与采用经典回归模型和半参数 回归模型所得出的结果进行比较。	Linear regression models are widely used in mental health and related health services research.However, the classic linear regression analysis assumes that the data are normally distributed, an assumption that is not met by the data obtained in many studies.One method of dealing with this problem is to use semi-parametric models, which do not require that the data be normally distributed.But semi-parametric models are quite sensitive to outlying observations, so the generated estimates are unreliable when study data includes outliers.In this situation, some researchers trim the extreme values prior to conducting the analysis, but the ad-hoc rules used for data trimming are based on subjective criteria so different methods of adjustment can yield different results.Rank regression provides a more objective approach to dealing with non-normal data that includes outliers.This paper uses simulated and real data to illustrate this useful regression approach for dealing with outliers and compares it to the results generated using classical regression models and semi-parametric regression models.	Linear regression models are widely used in studies related to mental health and health services.However, classical linear regression analysis assumes the normal distribution of the data, but many studies do not match this assumption.One way to solve this problem is to adopt a half-parameter model that does not require the data to be normal distributions.However, the semi-parameter model is quite sensitive to discrete data and therefore the estimates generated when processing data containing discrete values are not reliable.In this case, some researchers can then delete these extreme values, but the ad-hoc rules are based on subjective criteria, so different adjustment methods produce different results.Graded regression provides a more objective way to process non-regular distributive data, including discrete values.This paper uses virtual and actual data to illustrate this very useful regression method for dealing with discrete values and to compare the results obtained using classical regression models and semi-parameter regression models.	Linear regression models are widely used in research related to mental health and health services.However, classical linear regression analysis assumes that the data are normally distributed, but the data obtained in many studies do not conform to this assumption.One way to solve this problem is to use semi-parametric models that do not require data to be normally distributed.However, semi-parametric models are quite sensitive to discrete data, so estimates produced when processing data containing discrete values are unreliable.In this case, some researchers analyze these extremes after deleting them, but ad-hoc rules are based on subjective criteria, so different adjustment methods produce different results.Hierarchical regression provides a more objective approach to processing non-normally distributed data including discrete values.This paper uses virtual and real data to illustrate this very useful regression method for dealing with discrete values and compares the results with classical regression models and semi-parametric regression models.
