Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
Even in the current era of "mask-shaming," that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison.	即使在当前这个“口罩羞辱”时代，这也是一种犯罪，会被处以 1,000 美元罚款或州监狱三年以下刑期。	即使在目前的 “面具羞辱” 时代，这仍然是一种犯罪，处以 1 ， 000 美元或 3 年以下的罚款。	即使在目前的 “面具羞辱” 时代，这仍然是一种犯罪，处以 1000 美元罚款或 3 年以下监禁。
Flat, Free Education For Indore Egg Seller Paras Raykar Whose Cart Was Overturned Allegedly Over Rs. 100 Bribe	卖鸡蛋的印多尔男孩因拒绝行贿车被掀翻，后获得一套公寓及免费教育100 卢比的贿赂	平，免费教育 Indore Egg Seller Paras Raykar ，其购物车被推翻，据称超过 100 卢比	平，免费教育 Indore Egg 卖家 Paras Raykar 的购物车被推翻据称超过卢比 . 100 贿赂
Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore.	据报道，周四，Paras Raykar 装满鸡蛋的小车被印多尔市政官员掀翻。	据指称，在 Indore 的公民官员星期四推翻了 Raykar 的手推车。	据指称，雷卡的手推车运载鸡蛋的手推车星期四被 Indore 的公民官员推翻。
Two days after the story of a 13-year-old egg seller's cart being overturned by civic officials went viral on social media, the Indore-based boy has found overwhelming support from people across the country, helping them recover from the losses and manage to start their business again.	这名 13 岁男孩卖鸡蛋不成，小车被市政官员掀翻的故事在社交媒体上传播开来，两天后，这名住在印多尔的男孩收到了来自全国各地的支持，帮助他们家挽回损失，重新开始做生意。	两天后，一名 13 岁的鸡蛋商的手推车被社会媒体推翻， Indore 的男孩在社交媒体上发现了压倒性的支持，帮助他们从损失中恢复过来，并设法重新开始他们的业务。	两天后，一名 13 岁的鸡蛋销售商的推车被民间官员推翻的故事在社交媒体上传播开来，这位印多尔的男孩得到了全国人民的压倒性支持，帮助他们从损失中恢复过来，并设法重新开始他们的业务。
The boy's family also claimed that politicians including Congress leader Rahul Gandhi and Delhi Chief Minister Arvind Kejriwal have reached out to them and offered support.	男孩的家人还说，包括国民大会党党魁 Rahul Gandhi、德里首席部长 Arvind Kejriwal 在内的政客也联系他们并提供帮助。	这个男孩的家庭还声称，包括国会领导人拉胡尔・甘地和德里首席部长阿尔文德・基列瓦尔在内的政客们已经向他们伸出了手，并表示支持	这个男孩的家庭还声称，包括国会领导人拉胡尔・甘地和德里首席部长阿尔维斯德・基雅瓦尔在内的政客们已经向他们伸出援助之手，并表示支持。
The boy's family also received a flat and offer to take care of the educational expenses of the children in the family.	男孩的家人还获赠一套公寓，并收到为孩子们承担教育费用的承诺。	男孩的家庭也得到了一套公寓，并愿意照顾家庭中孩子的教育费用。	男孩的家庭还得到了一套公寓，并主动提出照顾家庭中子女的教育费用。
Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore, where the administration has implemented the "left-right" rule for the staggered opening of shops amid the coronavirus pandemic.	据报道，周四，Paras Raykar 卖鸡蛋的小车被印多尔市政官员掀翻，在疫情肆虐之际，市政府实施了“从左到右”交错开店的措施。	据指称，帕拉斯・雷卡尔的手推车在周四被 Indore 的公民官员推翻，在那里，行政当局执行了 "左翼" 规则，在冠状病毒流行的情况下，在商店中错开营业。	Paras Raykar 携带鸡蛋的手推车据称于周四被 Indore 的公民官员推翻，政府在那里实施了 “左右” 规则，以便在冠状病毒大流行期间错开开店。
A video in which the boy alleged that the officials had warned him in the morning to remove his cart or pay Rs 100 as bribe had gone viral on social media.	在一段视频里，男孩说，当天上午，官员警告他，如果不支付 100 卢比的贿赂金就把他的小车掀翻，这段视频在社交媒体上迅速传播开来。	在一个视频中，男孩声称，官员们在上午警告他，将他的手推车或支付 100 卢比作为贿赂，因为贿赂已经在社交媒体上传播。	这名男孩声称，官员们在上午警告他要脱掉他的手推车或支付 100 卢比，因为贿赂已经在社交媒体上传播。
When he refused, the officials tipped his cart over, destroying all the eggs, the boy alleged.	男孩说，他拒绝交出 100 卢比后，那些官员就把他的小车掀翻，把所有鸡蛋砸碎。	当他拒绝时，官员们把他的手推车翻过来，摧毁了所有的鸡蛋，男孩说。	当他拒绝时，官员们把他的车倒过来，摧毁了所有的鸡蛋，男孩声称。
The boy had also claimed that his daily sale has been down due to the pandemic and the loss of his stock will put additional financial burden on him, in the video.	男孩还在视频里说，受疫情影响，鸡蛋的日均销量都下降了，损失的这些鸡蛋对他来说更是雪上加霜。	这个男孩还声称，他的日常销售由于大流行病而下降，他的存货损失将给他带来额外的财政负担，在视频中。	这个男孩还声称，他的每日销售量由于大流行病而下降，他的股票损失将给他带来额外的财政负担，在视频中。
Since Thursday, the boy's family has been overwhelmed with support from people across the country, many of them offering help in both cash and kind.	自周四以来，男孩的家人收到了大量来自全国各地的支持，许多人向他们提供了现金或者善意的帮助。	自周四以来，这个男孩的家庭一直受到全国人民的支持，其中许多人提供了现金和实物帮助。	自周四以来，这个男孩的家庭一直被全国人民的支持所压倒，其中许多人提供现金和实物帮助。
The family has also received help from locals.	当地人也向这家人伸出援手。	这个家庭也得到了当地人的帮助。	家庭也得到当地人的帮助。
While former chief minister Digvijaya Singh has offered financial support and help to get the children admitted in a college, BJP MLA from Indore, Ramesh Mendola, has assured to provide a house under the Pradhan Mantri Awas Yojana to the child.	前首席部长 Digvijaya Singh 对他们进行了资助，并帮助孩子们入读一所学院；人民党议会议员 Ramesh Mendola 也保证将根据 Pradhan Mantri Awas Yojana 住房计划为男孩一家提供一套公寓。	虽然前首席部长 Digvijaya Singh 提供了财政支持和帮助，使儿童进入大学，但来自 Indore 、 Ramesh Mendola 的 BJP 司法机构已保证向该儿童提供 Pradhan Mantri Awas Yojana 的一所房子。	前首席部长迪格维贾亚・辛格（ Digvijaya Singh ）提供了财政支持和帮助，让孩子们上大学，而印度人民党（ Indore ， Ramesh Mendola ）的司法机构则保证在 Pradhan Mantri Awas Yojana 的领导下为孩子
Indore Press Club has also provided ration and money to the boy.	印多尔记者俱乐部还为男孩提供了口粮和金钱。	印多尔新闻俱乐部还向男孩提供口粮和钱。	Indore 新闻俱乐部也向男孩提供了口粮和钱。
